id,wildfire_ha
045001,0.0
045002,0.0
045003,228.0
045004,0.0
045005,2.0
045006,0.0
045007,228.0
045008,0.0
045009,0.0
045010,475.0
045011,8.0
045012,0.0
045013,0.0
045014,0.0
045015,0.0
045016,0.0
045017,53.0
046001,0.0
046002,387.0
046003,0.0
046004,0.0
046005,1134.0
046006,0.0
046007,573.0
046008,0.0
046009,0.0
046010,58.0
046011,11.0
046013,0.0
046014,0.0
046015,0.0
046017,1526.0
046018,918.0
046019,0.0
046020,0.0
046021,0.0
046022,193.0
046023,0.0
046024,0.0
046025,61.0
046026,0.0
046027,4.0
046028,153.0
046030,322.0
046031,0.0
046033,11.0
046034,46.0
046035,0.0
046036,0.0
046037,306.0
047002,0.0
047003,0.0
047005,0.0
047006,3.0
047007,0.0
047008,0.0
047009,0.0
047010,246.0
047011,0.0
047012,101.0
047013,0.0
047014,0.0
047016,0.0
047017,0.0
047018,0.0
047020,89.0
047021,0.0
047022,0.0
047023,0.0
047024,172.0
048001,0.0
048002,0.0
048004,0.0
048005,0.0
048006,0.0
048008,0.0
048010,0.0
048011,0.0
048012,0.0
048013,0.0
048014,0.0
048015,0.0
048017,0.0
048018,0.0
048019,0.0
048020,0.0
048021,48.0
048022,0.0
048024,0.0
048025,0.0
048026,0.0
048027,0.0
048028,0.0
048030,0.0
048031,0.0
048032,0.0
048033,0.0
048035,37.0
048036,0.0
048037,1.0
048038,0.0
048039,0.0
048041,0.0
048043,0.0
048044,0.0
048046,0.0
048049,0.0
048050,0.0
048052,38.0
048053,0.0
048054,0.0
049001,0.0
049002,0.0
049003,54.0
049004,0.0
049005,0.0
049006,0.0
049007,0.0
049008,0.0
049009,0.0
049010,66.0
049011,0.0
049012,0.0
049013,0.0
049014,0.0
049017,3.0
049018,0.0
049019,0.0
049020,0.0
049021,36.0
050001,0.0
050002,1331.0
050003,1207.0
050004,0.0
050005,0.0
050006,0.0
050008,0.0
050009,2.0
050010,0.0
050011,73.0
050012,0.0
050014,0.0
050015,0.0
050016,0.0
050019,0.0
050020,0.0
050021,0.0
050022,0.0
050023,0.0
050024,0.0
050025,0.0
050026,0.0
050027,73.0
050028,0.0
050029,0.0
050030,0.0
050031,602.0
050032,0.0
050033,0.0
050034,0.0
050035,0.0
050036,0.0
050037,115.0
050038,1383.0
050039,519.0
050040,0.0
050041,0.0
051001,0.0
051002,0.0
051003,1.0
051004,0.0
051005,65.0
051006,0.0
051007,0.0
051008,0.0
051010,0.0
051011,0.0
051012,0.0
051013,0.0
051014,0.0
051015,0.0
051016,0.0
051017,7.0
051018,0.0
051020,0.0
051021,3.0
051022,0.0
051023,0.0
051024,0.0
051025,0.0
051026,0.0
051027,0.0
051030,0.0
051031,0.0
051033,0.0
051034,0.0
051035,0.0
051037,0.0
051038,0.0
051039,0.0
051040,4.0
051041,0.0
051042,28.0
052001,496.0
052002,0.0
052003,0.0
052004,0.0
052005,0.0
052006,0.0
052007,0.0
052008,0.0
052009,0.0
052010,92.0
052011,0.0
052012,0.0
052013,0.0
052015,0.0
052016,0.0
052017,0.0
052018,0.0
052019,0.0
052020,556.0
